title,location,time,price,img_url
Main Sehar Commercial Shop For Sale Bangalow Facing DHA Defence Khi,DHA Defence,12:58 pm,"Rs 1,15,00,000",https://apollo-singapore.akamaized.net/v1/files/ewl6z6bflkbe2-PK/image;s=261x203;pk_;slot=3;filename=ewl6z6bflkbe2-PK_.jpg
Gulshan e Iqbal block 14 shop for sale,Jamshed Town,12:53 pm,"Rs 2,49,00,000",https://apollo-singapore.akamaized.net/v1/files/tru3l6m1knvp1-PK/image;s=261x203;pk_;slot=1;filename=tru3l6m1knvp1-PK_.jpg
Shop Country Heights,Gulzar-E-Hijri,12:50 pm,"Rs 40,00,000",https://apollo-singapore.akamaized.net/v1/files/dunk93w06b0g3-PK/image;s=261x203;pk_;slot=1;filename=dunk93w06b0g3-PK_.jpg
Main road near pizza max shop for sale.,Al Falah Society,12:30 pm,"Rs 1,25,00,000",https://apollo-singapore.akamaized.net/v1/files/qgeeneseklqs-PK/image;s=261x203;pk_;slot=1;filename=qgeeneseklqs-PK_.jpg
DHA shops 300 to 1000 feet,,12:19 pm,"Rs 70,00,000",https://apollo-singapore.akamaized.net/v1/files/hdehv7eo0th01-PK/image;s=261x203;pk_;slot=1;filename=hdehv7eo0th01-PK_.jpg
4 shops with back yard godam,Delhi Colony,12:09 pm,"Rs 1,60,00,000",https://apollo-singapore.akamaized.net/v1/files/strqm7os18f62-PK/image;s=261x203;pk_;slot=1;filename=strqm7os18f62-PK_.jpg
Shop DHA main location 830 sqft,DHA Defence,12:02 pm,"Rs 3,00,00,000",https://apollo-singapore.akamaized.net/v1/files/cx5lsmukbysi3-PK/image;s=261x203;pk_;slot=1;filename=cx5lsmukbysi3-PK_.jpg
Shop Clifton. opposite Mottas,,11:54 am,"Rs 5,15,00,000",https://apollo-singapore.akamaized.net/v1/files/qfklniq9s1f91-PK/image;s=261x203;pk_;slot=1;filename=qfklniq9s1f91-PK_.jpg
60 sq yards Main Road Korangi No 1,Korangi,11:11 am,"Rs 3,50,00,000",https://apollo-singapore.akamaized.net/v1/files/1b5cyn574xc71-PK/image;s=261x203;pk_;slot=1;filename=1b5cyn574xc71-PK_.jpg
Cotton Exp Society Scheme 33 Commercial House 60' Double Road,Cotton Export Cooperative Housing Society,09:43 am,"Rs 85,00,000",https://apollo-singapore.akamaized.net/v1/files/2t0zptvcgs1x1-PK/image;s=261x203;pk_;slot=1;filename=2t0zptvcgs1x1-PK_.jpg
Main M.A.Jinnah Road,Saddar Town,06:50 am,"Rs 19,00,000",https://olxpkstatic-a.akamaihd.net/f55a353-979/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Shop for sale,Airport,02:01 am,"Rs 70,00,000",https://apollo-singapore.akamaized.net/v1/files/owtl3rl0h1sq3-PK/image;s=261x203;pk_;slot=1;filename=owtl3rl0h1sq3-PK_.jpg
Cabin shop Main M.A. Jinnah Road,Saddar Town,01:54 am,"Rs 18,50,000",https://olxpkstatic-a.akamaihd.net/f55a353-979/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
APNA Estate - 100 Square Yards Commercial Plot in Korangi,Korangi,01:15 am,"Rs 50,00,000",https://olxpkstatic-a.akamaihd.net/f55a353-979/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Hayderi shop For Sell,Nazimabad,12:36 am,"Rs 3,25,000",https://apollo-singapore.akamaized.net/v1/files/nn1l0jtoap1h3-PK/image;s=261x203;pk_;slot=1;filename=nn1l0jtoap1h3-PK_.jpg
Running School for sale,Korangi,12:29 am,"Rs 3,00,000",https://olxpkstatic-a.akamaihd.net/f55a353-979/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
150 Square Feet Hyderi shop,North Nazimabad,12:23 am,"Rs 3,25,000",https://olxpkstatic-a.akamaihd.net/f55a353-979/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Electronic market,Saddar Town,Yesterday,"Rs 42,00,000",https://olxpkstatic-a.akamaihd.net/f55a353-979/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
omega Mall.. shop 23A ground floor Main gate k frond corner.,North Karachi,Yesterday,"Rs 62,00,000",https://apollo-singapore.akamaized.net/v1/files/bzhqywewx8be-PK/image;s=261x203;pk_;slot=1;filename=bzhqywewx8be-PK_.jpg
Office for Sale Main II Chundrigarh Road,I.I. Chundrigar Road,Yesterday,"Rs 32,00,000",https://apollo-singapore.akamaized.net/v1/files/wkoasrhtpg4z1-PK/image;s=261x203;pk_;slot=1;filename=wkoasrhtpg4z1-PK_.jpg
Buy commercial office in just booking price with easy installment plan,Bahria Town Karachi,Yesterday,"Rs 15,00,000",https://apollo-singapore.akamaized.net/v1/files/ml3fee6mer14-PK/image;s=261x203;pk_;slot=1;filename=ml3fee6mer14-PK_.jpg
dha zamzama 4-shops all ready rented space Karachi…..,Gulshan-E-Iqbal 2,Yesterday,"Rs 3,25,00,000",https://olxpkstatic-a.akamaihd.net/f55a353-979/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Saima Mall Shop for Sale,Gulistan-e-Jauhar,Yesterday,"Rs 48,00,000",https://apollo-singapore.akamaized.net/v1/files/67012wbu9taq3-PK/image;s=261x203;pk_;slot=1;filename=67012wbu9taq3-PK_.jpg
Office for sale on easy installments,Bahria Town Karachi,Yesterday,"Rs 15,00,000",https://olxpkstatic-a.akamaihd.net/f55a353-979/naspersclassifieds-regional/olxpk-atlas-web-olxpk/static/img/nophoto.png?v=3
Shah Latif Town Sector 20 C,Abdullah Haroon Road,Yesterday,"Rs 28,00,000",https://apollo-singapore.akamaized.net/v1/files/aamgug14pc681-PK/image;s=261x203;pk_;slot=1;filename=aamgug14pc681-PK_.jpg
Shop in shah latif town,Quaidabad,Yesterday,"Rs 25,00,000",https://apollo-singapore.akamaized.net/v1/files/yqon0os02uzu1-PK/image;s=261x203;pk_;slot=1;filename=yqon0os02uzu1-PK_.jpg
Urgent Saleem Plaza Shop For Sale,Gulshan-E-Iqbal 1,Yesterday,"Rs 25,00,000",https://apollo-singapore.akamaized.net/v1/files/aa6vc8q8gn9v3-PK/image;s=261x203;pk_;slot=1;filename=aa6vc8q8gn9v3-PK_.jpg
Shop for sale Warda Apartment,Gulistan-e-Jauhar,Yesterday,"Rs 64,00,000",https://apollo-singapore.akamaized.net/v1/files/6xcfktte4sej-PK/image;s=261x203;pk_;slot=1;filename=6xcfktte4sej-PK_.jpg
Open plot - Gulshan e sikander,Korangi,Yesterday,"Rs 65,00,000",https://apollo-singapore.akamaized.net/v1/files/4v0q54dsgvb21-PK/image;s=261x203;pk_;slot=1;filename=4v0q54dsgvb21-PK_.jpg
Gulshan-E-Iqbal Vip Location main Rashid minhas road Shop,Gulshan-E-Iqbal 1,Yesterday,"Rs 2,45,00,000",https://apollo-singapore.akamaized.net/v1/files/kjgim7a33p523-PK/image;s=261x203;pk_;slot=1;filename=kjgim7a33p523-PK_.jpg
"210 Sq Ft Upper Ground Floor Shops, The Jinnah Center, Islamabad",Others,Yesterday,"Rs 10,80,000",https://apollo-singapore.akamaized.net/v1/files/pp829dre5hgm-PK/image;s=261x203;pk_;slot=1;filename=pp829dre5hgm-PK_.jpg
"210 Sq Ft Upper Ground Floor Shops, The Jinnah Center, Islamabad",Others,Yesterday,"Rs 10,20,000",https://apollo-singapore.akamaized.net/v1/files/m4pxv9g25p7r1-PK/image;s=261x203;pk_;slot=1;filename=m4pxv9g25p7r1-PK_.jpg
"210 Sq Ft Ground Floor Shops, The Jinnah Center, Islamabad",Others,Yesterday,"Rs 11,40,000",https://apollo-singapore.akamaized.net/v1/files/s87je9yfq0no3-PK/image;s=261x203;pk_;slot=1;filename=s87je9yfq0no3-PK_.jpg
"210 Sq Ft Ground Floor Shops, The Jinnah Center, Islamabad",Others,Yesterday,"Rs 12,00,000",https://apollo-singapore.akamaized.net/v1/files/eik5283sg9v21-PK/image;s=261x203;pk_;slot=1;filename=eik5283sg9v21-PK_.jpg
"210 Sq Ft Ground Floor Shops, The Jinnah Center, Islamabad",Others,Yesterday,"Rs 10,20,000",https://apollo-singapore.akamaized.net/v1/files/e52nfpaitgey2-PK/image;s=261x203;pk_;slot=1;filename=e52nfpaitgey2-PK_.jpg
"210 Sq Ft Lower Ground Floor Shops, The Jinnah Center, Islamabad",Others,Yesterday,"Rs 6,90,000",https://apollo-singapore.akamaized.net/v1/files/og8qlbn20aaq-PK/image;s=261x203;pk_;slot=1;filename=og8qlbn20aaq-PK_.jpg
"210 Sq Ft Lower Ground Floor Shops, The Jinnah Center, Islamabad",Others,Yesterday,"Rs 7,20,000",https://apollo-singapore.akamaized.net/v1/files/bhw0c8a90lgy1-PK/image;s=261x203;pk_;slot=1;filename=bhw0c8a90lgy1-PK_.jpg
"210 Sq Ft Lower Ground Floor Shops, The Jinnah Center, Islamabad",Others,Yesterday,"Rs 8,40,000",https://apollo-singapore.akamaized.net/v1/files/a7i8roxarhfl2-PK/image;s=261x203;pk_;slot=1;filename=a7i8roxarhfl2-PK_.jpg
"210 Sq Ft Basement Shop, The Jinnah Center, Islamabad",Others,Yesterday,"Rs 16,00,000",https://apollo-singapore.akamaized.net/v1/files/y60jm762y42t1-PK/image;s=261x203;pk_;slot=1;filename=y60jm762y42t1-PK_.jpg
400 Sqr Fet Shop Good Location 15 Commercial Phase 2 ext Defense,DHA Defence,Yesterday,"Rs 60,00,000",https://apollo-singapore.akamaized.net/v1/files/hzqvbrviq5g53-PK/image;s=261x203;pk_;slot=1;filename=hzqvbrviq5g53-PK_.jpg
"280 Sqr ft Shop Sunset Lane 1, Phase 2 Ext. DHA",DHA Defence,Yesterday,"Rs 40,00,000",https://apollo-singapore.akamaized.net/v1/files/6fs3vzu96bps-PK/image;s=261x203;pk_;slot=1;filename=6fs3vzu96bps-PK_.jpg
